i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
285.0,6.259965311891726,6.010000000000002,1.0,0.0,True
286.0,3.3246530067872517,3.630000000000001,1.0,0.0,True
287.0,1.064730049023062,1.3000000000000007,1.0,0.0,True
288.0,3.192933784529941,3.4399999999999995,0.998,0.0020000000000000018,True
289.0,5.2357543016161605,4.84,1.0,0.0,True
290.0,4.7522192159512215,4.83,1.0,0.0,True
291.0,3.84755413772308,3.5700000000000003,1.0,0.0,True
292.0,4.196143113460933,6.469999999999999,1.0,0.0,True
293.0,6.075314096974643,5.66,1.0,0.0,True
294.0,5.126085291467888,4.76,1.0,0.0,True
295.0,3.0277761281818343,3.0299999999999994,1.0,0.0,True
296.0,0.5060606290293279,0.5500000000000007,0.974,0.026000000000000023,True
297.0,5.944418744287732,5.5600000000000005,1.0,0.0,True
298.0,3.7280227540385913,3.8499999999999996,1.0,0.0,True
299.0,3.9081549876386674,4.07,1.0,0.0,True
300.0,0.4871798627869168,0.5999999999999996,0.95,0.050000000000000044,False
301.0,-0.08201409549980809,0.1999999999999993,0.896,0.10399999999999998,False
302.0,0.11871151016487147,-0.22000000000000064,0.12,0.12,False
303.0,4.716417490015331,5.720000000000001,1.0,0.0,True
304.0,1.3815931040765008,1.6199999999999992,1.0,0.0,True
305.0,4.895719939941259,4.619999999999999,1.0,0.0,True
306.0,5.738563141928921,5.84,1.0,0.0,True
307.0,4.2280875355281475,4.08,1.0,0.0,True
308.0,4.892736888691643,4.970000000000001,1.0,0.0,True
309.0,2.64547876324648,2.869999999999999,1.0,0.0,True
310.0,2.546066818186361,2.1500000000000004,1.0,0.0,True
311.0,0.8650420204629725,1.0099999999999998,1.0,0.0,True
312.0,6.9108661769693285,6.109999999999999,1.0,0.0,True
313.0,4.730461423429368,4.67,1.0,0.0,True
314.0,6.876868955562558,6.559999999999999,1.0,0.0,True
315.0,1.728565042500577,1.67,1.0,0.0,True
316.0,0.09842022238231607,0.0,0.538,0.46199999999999997,False
317.0,4.988141792113062,3.5299999999999994,1.0,0.0,True
318.0,0.6473530225251807,0.25,0.95,0.050000000000000044,False
319.0,0.268052196572782,0.7899999999999991,0.96,0.040000000000000036,True
320.0,4.686745475531068,4.779999999999999,1.0,0.0,True
321.0,4.951263284906055,5.0,1.0,0.0,True
322.0,0.7830504541580439,0.46000000000000085,0.968,0.03200000000000003,True
323.0,1.6743000547081976,3.0299999999999994,1.0,0.0,True
324.0,3.956349824826418,4.4399999999999995,1.0,0.0,True
325.0,5.508062899600488,5.630000000000001,1.0,0.0,True
